Date,Day,Visitors,Rolling_Mean
2015-12-24,177,44,27.266666666666666
2015-12-25,178,35,27.966666666666665
2015-12-26,179,53,29.233333333333334
2015-12-27,180,11,29.2
2015-12-28,181,26,26.6
2015-12-29,182,13,26.866666666666667
2015-12-30,183,18,26.733333333333334
2015-12-31,184,9,25.533333333333335
2016-01-01,185,16,23.566666666666666
2016-01-02,186,6,22.8
2016-01-03,187,19,22.3
2016-01-04,188,20,22.3
2016-01-05,189,19,22.533333333333335
2016-01-06,190,22,22.433333333333334
2016-01-07,191,30,23.133333333333333
2016-01-08,192,14,21.533333333333335
2016-01-09,193,16,21.4
2016-01-10,194,22,21.5
2016-01-11,195,15,21.733333333333334
2016-01-12,196,15,21.466666666666665
2016-01-13,197,26,21.9
2016-01-14,198,16,21.9
2016-01-15,199,13,21.2
2016-01-16,200,27,20.9
2016-01-17,201,18,21.133333333333333
2016-01-18,202,13,20.966666666666665
2016-01-19,203,32,21.633333333333333
2016-01-20,204,31,21.866666666666667
2016-01-21,205,16,21.4
2016-01-22,206,38,21.766666666666666
2016-01-23,207,18,20.9
2016-01-24,208,9,20.033333333333335
2016-01-25,209,14,18.733333333333334
2016-01-26,210,10,18.7
2016-01-27,211,24,18.633333333333333
2016-01-28,212,8,18.466666666666665
2016-01-29,213,15,18.366666666666667
2016-01-30,214,18,18.666666666666668
2016-01-31,215,10,18.466666666666665
2016-02-01,216,23,19.033333333333335
2016-02-02,217,17,18.966666666666665
2016-02-03,218,11,18.666666666666668
2016-02-04,219,26,18.9
2016-02-05,220,14,18.633333333333333
2016-02-06,221,8,17.9
2016-02-07,222,12,17.833333333333332
2016-02-08,223,9,17.6
2016-02-09,224,11,17.233333333333334
2016-02-10,225,34,17.866666666666667
2016-02-11,226,17,17.933333333333334
2016-02-12,227,29,18.033333333333335
2016-02-13,228,11,17.866666666666667
2016-02-14,229,9,17.733333333333334
2016-02-15,230,14,17.3
2016-02-16,231,21,17.4
2016-02-17,232,12,17.366666666666667
2016-02-18,233,11,16.666666666666668
2016-02-19,234,13,16.066666666666666
2016-02-20,235,11,15.9
2016-02-21,236,13,15.066666666666666
2016-02-22,237,16,15.0
2016-02-23,238,13,15.133333333333333
2016-02-24,239,19,15.3
2016-02-25,240,21,15.666666666666666
2016-02-26,241,14,15.333333333333334
2016-02-27,242,11,15.433333333333334
2016-02-28,243,35,16.1
2016-02-29,244,18,16.1
2016-03-01,245,42,17.166666666666668
2016-03-02,246,15,16.9
2016-03-03,247,5,16.5
2016-03-04,248,21,16.833333333333332
2016-03-05,249,56,17.833333333333332
2016-03-06,250,9,17.666666666666668
2016-03-07,251,20,18.066666666666666
2016-03-08,252,17,18.233333333333334
2016-03-09,253,18,18.533333333333335
2016-03-10,254,8,18.433333333333334
2016-03-11,255,9,17.6
2016-03-12,256,17,17.6
2016-03-13,257,9,16.933333333333334
2016-03-14,258,10,16.9
2016-03-15,259,14,17.066666666666666
2016-03-16,260,17,17.166666666666668
2016-03-17,261,6,16.666666666666668
2016-03-18,262,18,16.866666666666667
2016-03-19,263,13,16.933333333333334
2016-03-20,264,11,16.866666666666667
2016-03-21,265,12,16.9
2016-03-22,266,11,16.833333333333332
2016-03-23,267,8,16.566666666666666
2016-03-24,268,15,16.633333333333333
2016-03-25,269,11,16.366666666666667
2016-03-26,270,20,16.333333333333332
2016-03-27,271,59,17.833333333333332
2016-03-28,272,11,17.833333333333332
2016-03-29,273,18,17.266666666666666
2016-03-30,274,17,17.233333333333334
2016-03-31,275,12,16.233333333333334
2016-04-01,276,14,16.2
2016-04-02,277,13,16.466666666666665
2016-04-03,278,9,16.066666666666666
2016-04-04,279,490,30.533333333333335
2016-04-05,280,189,36.53333333333333
2016-04-06,281,102,39.266666666666666
2016-04-07,282,38,39.96666666666667
2016-04-08,283,126,43.56666666666667
2016-04-09,284,71,45.666666666666664
2016-04-10,285,21,46.06666666666667
2016-04-11,286,57,47.4
2016-04-12,287,79,49.733333333333334
2016-04-13,288,17,49.96666666666667
2016-04-14,289,17,50.06666666666667
2016-04-15,290,23,50.266666666666666
2016-04-16,291,16,50.6
2016-04-17,292,23,50.766666666666666
2016-04-18,293,18,50.93333333333333
2016-04-19,294,22,51.3
2016-04-20,295,44,52.36666666666667
2016-04-21,296,6,52.2
2016-04-22,297,31,52.96666666666667
2016-04-23,298,17,53.03333333333333
2016-04-24,299,25,53.5
2016-04-25,300,40,54.166666666666664
2016-04-26,301,19,52.833333333333336
2016-04-27,302,15,52.96666666666667
2016-04-28,303,15,52.86666666666667
2016-04-29,304,29,53.266666666666666
2016-04-30,305,18,53.46666666666667
2016-05-01,306,16,53.53333333333333
2016-05-02,307,13,53.53333333333333
2016-05-03,308,20,53.9
2016-05-04,309,22,38.3
2016-05-05,310,19,32.63333333333333
2016-05-06,311,11,29.6
2016-05-07,312,50,30.0
2016-05-08,313,22,26.533333333333335
2016-05-09,314,39,25.466666666666665
2016-05-10,315,23,25.533333333333335
2016-05-11,316,21,24.333333333333332
2016-05-12,317,23,22.466666666666665
2016-05-13,318,22,22.633333333333333
2016-05-14,319,16,22.6
2016-05-15,320,19,22.466666666666665
2016-05-16,321,35,23.1
2016-05-17,322,16,22.866666666666667
2016-05-18,323,12,22.666666666666668
2016-05-19,324,15,22.433333333333334
2016-05-20,325,13,21.4
2016-05-21,326,14,21.666666666666668
2016-05-22,327,10,20.966666666666665
2016-05-23,328,21,21.1
2016-05-24,329,20,20.933333333333334
2016-05-25,330,19,20.233333333333334
2016-05-26,331,14,20.066666666666666
2016-05-27,332,12,19.966666666666665
2016-05-28,333,15,19.966666666666665
2016-05-29,334,17,19.566666666666666
2016-05-30,335,16,19.5
2016-05-31,336,21,19.666666666666668
2016-06-01,337,27,20.133333333333333
2016-06-02,338,13,19.9
2016-06-03,339,11,19.533333333333335
2016-06-04,340,15,19.4
2016-06-05,341,14,19.5
2016-06-06,342,18,18.433333333333334
2016-06-07,343,18,18.3
2016-06-08,344,10,17.333333333333332
2016-06-09,345,11,16.933333333333334
2016-06-10,346,14,16.7
2016-06-11,347,18,16.533333333333335
2016-06-12,348,14,16.266666666666666
2016-06-13,349,13,16.166666666666668
2016-06-14,350,17,16.1
2016-06-15,351,15,15.433333333333334
2016-06-16,352,14,15.366666666666667
2016-06-17,353,234,22.766666666666666
2016-06-18,354,8,22.533333333333335
2016-06-19,355,62,24.166666666666668
2016-06-20,356,26,24.566666666666666
2016-06-21,357,22,24.966666666666665
2016-06-22,358,8,24.533333333333335
2016-06-23,359,22,24.6
2016-06-24,360,15,24.466666666666665
2016-06-25,361,69,26.3
2016-06-26,362,11,26.266666666666666
2016-06-27,363,18,26.366666666666667
2016-06-28,364,23,26.566666666666666
2016-06-29,365,12,26.433333333333334
2016-06-30,366,20,26.4
2016-07-01,367,17,26.066666666666666
2016-07-02,368,15,26.133333333333333
2016-07-03,369,16,26.3
2016-07-04,370,18,26.4
2016-07-05,371,21,26.633333333333333
2016-07-06,372,15,26.533333333333335
2016-07-07,373,30,26.933333333333334
2016-07-08,374,115,30.433333333333334
2016-07-09,375,56,31.933333333333334
2016-07-10,376,45,32.96666666666667
2016-07-11,377,17,32.93333333333333
2016-07-12,378,18,33.06666666666667
2016-07-13,379,15,33.13333333333333
2016-07-14,380,18,33.166666666666664
2016-07-15,381,14,33.13333333333333
2016-07-16,382,15,33.166666666666664
2016-07-17,383,15,25.866666666666667
2016-07-18,384,24,26.4
2016-07-19,385,22,25.066666666666666
2016-07-20,386,18,24.8
2016-07-21,387,30,25.066666666666666
2016-07-22,388,12,25.2
2016-07-23,389,13,24.9
2016-07-24,390,18,25.0
2016-07-25,391,17,23.266666666666666
2016-07-26,392,31,23.933333333333334
2016-07-27,393,26,24.2
2016-07-28,394,29,24.4
2016-07-29,395,12,24.4
2016-07-30,396,19,24.366666666666667
2016-07-31,397,19,24.433333333333334
2016-08-01,398,57,25.833333333333332
2016-08-02,399,17,25.866666666666667
2016-08-03,400,20,25.933333333333334
2016-08-04,401,49,26.866666666666667
2016-08-05,402,10,26.7
2016-08-06,403,19,26.333333333333332
2016-08-07,404,26,23.366666666666667
2016-08-08,405,41,22.866666666666667
2016-08-09,406,23,22.133333333333333
2016-08-10,407,30,22.566666666666666
2016-08-11,408,55,23.8
2016-08-12,409,17,23.866666666666667
2016-08-13,410,24,24.066666666666666
2016-08-14,411,14,24.066666666666666
2016-08-15,412,12,23.966666666666665
2016-08-16,413,49,25.1
2016-08-17,414,42,25.7
2016-08-18,415,37,26.2
2016-08-19,416,13,26.033333333333335
2016-08-20,417,30,26.033333333333335
2016-08-21,418,20,26.3
2016-08-22,419,33,26.966666666666665
2016-08-23,420,20,27.033333333333335
2016-08-24,421,14,26.933333333333334
2016-08-25,422,40,27.233333333333334
2016-08-26,423,15,26.866666666666667
2016-08-27,424,18,26.5
2016-08-28,425,26,26.966666666666665
2016-08-29,426,8,26.6
2016-08-30,427,25,26.8
2016-08-31,428,21,25.6
2016-09-01,429,20,25.7
2016-09-02,430,25,25.866666666666667
2016-09-03,431,19,24.866666666666667
2016-09-04,432,23,25.3
2016-09-05,433,18,25.266666666666666
2016-09-06,434,19,25.033333333333335
2016-09-07,435,18,24.266666666666666
2016-09-08,436,55,25.333333333333332
2016-09-09,437,16,24.866666666666667
2016-09-10,438,65,25.2
2016-09-11,439,11,25.0
2016-09-12,440,11,24.566666666666666
2016-09-13,441,13,24.533333333333335
2016-09-14,442,20,24.8
2016-09-15,443,21,23.866666666666667
2016-09-16,444,13,22.9
2016-09-17,445,24,22.466666666666665
2016-09-18,446,20,22.7
2016-09-19,447,13,22.133333333333333
2016-09-20,448,32,22.533333333333335
2016-09-21,449,16,21.966666666666665
2016-09-22,450,10,21.633333333333333
2016-09-23,451,13,21.6
2016-09-24,452,44,21.733333333333334
2016-09-25,453,17,21.8
2016-09-26,454,13,21.633333333333333
2016-09-27,455,72,23.166666666666668
2016-09-28,456,40,24.233333333333334
2016-09-29,457,19,24.033333333333335
2016-09-30,458,14,23.8
2016-10-01,459,13,23.566666666666666
2016-10-02,460,12,23.133333333333333
2016-10-03,461,14,22.966666666666665
2016-10-04,462,10,22.533333333333335
2016-10-05,463,26,22.8
2016-10-06,464,13,22.6
2016-10-07,465,22,22.733333333333334
2016-10-08,466,14,21.366666666666667
2016-10-09,467,23,21.6
2016-10-10,468,12,19.833333333333332
2016-10-11,469,8,19.733333333333334
2016-10-12,470,50,21.033333333333335
2016-10-13,471,13,21.033333333333335
2016-10-14,472,10,20.7
2016-10-15,473,16,20.533333333333335
2016-10-16,474,14,20.566666666666666
2016-10-17,475,10,20.1
2016-10-18,476,24,20.233333333333334
2016-10-19,477,10,20.133333333333333
2016-10-20,478,20,19.733333333333334
2016-10-21,479,10,19.533333333333335
2016-10-22,480,26,20.066666666666666
2016-10-23,481,25,20.466666666666665
2016-10-24,482,16,19.533333333333335
2016-10-25,483,19,19.6
2016-10-26,484,20,19.833333333333332
2016-10-27,485,12,17.833333333333332
2016-10-28,486,19,17.133333333333333
2016-10-29,487,50,18.166666666666668
2016-10-30,488,16,18.233333333333334
2016-10-31,489,30,18.8
2016-11-01,490,18,19.0
2016-11-02,491,25,19.366666666666667
2016-11-03,492,14,19.5
2016-11-04,493,20,19.3
2016-11-05,494,8,19.133333333333333
2016-11-06,495,67,20.633333333333333
2016-11-07,496,13,20.6
2016-11-08,497,41,21.2
2016-11-09,498,10,21.133333333333333
2016-11-10,499,21,21.566666666666666
2016-11-11,500,13,20.333333333333332
2016-11-12,501,8,20.166666666666668
2016-11-13,502,15,20.333333333333332
2016-11-14,503,14,20.266666666666666
2016-11-15,504,12,20.2
2016-11-16,505,6,20.066666666666666
2016-11-17,506,11,19.633333333333333
2016-11-18,507,10,19.633333333333333
2016-11-19,508,42,20.366666666666667
2016-11-20,509,21,20.733333333333334
2016-11-21,510,24,20.666666666666668
2016-11-22,511,14,20.3
2016-11-23,512,11,20.133333333333333
2016-11-24,513,204,26.3
2016-11-25,514,14,26.1
2016-11-26,515,45,27.2
2016-11-27,516,33,27.666666666666668
2016-11-28,517,28,26.933333333333334
2016-11-29,518,18,27.0
2016-11-30,519,14,26.466666666666665
2016-12-01,520,47,27.433333333333334
2016-12-02,521,15,27.1
2016-12-03,522,14,27.1
2016-12-04,523,18,27.033333333333335
2016-12-05,524,20,27.433333333333334
2016-12-06,525,14,25.666666666666668
2016-12-07,526,16,25.766666666666666
2016-12-08,527,14,24.866666666666667
2016-12-09,528,20,25.2
2016-12-10,529,60,26.5
2016-12-11,530,22,26.8
2016-12-12,531,15,27.033333333333335
2016-12-13,532,17,27.1
2016-12-14,533,19,27.266666666666666
2016-12-15,534,18,27.466666666666665
2016-12-16,535,21,27.966666666666665
2016-12-17,536,21,28.3
2016-12-18,537,47,29.533333333333335
2016-12-19,538,65,30.3
2016-12-20,539,17,30.166666666666668
2016-12-21,540,32,30.433333333333334
2016-12-22,541,63,32.06666666666667
2016-12-23,542,15,32.2
2016-12-24,543,26,26.266666666666666
2016-12-25,544,14,26.266666666666666
2016-12-26,545,20,25.433333333333334
2016-12-27,546,22,25.066666666666666
2016-12-28,547,19,24.766666666666666
2016-12-29,548,18,24.766666666666666
2016-12-30,549,20,24.966666666666665
2016-12-31,550,26,24.266666666666666
2017-01-01,551,42,25.166666666666668
2017-01-02,552,35,25.866666666666667
2017-01-03,553,13,25.7
2017-01-04,554,51,26.733333333333334
2017-01-05,555,11,26.633333333333333
2017-01-06,556,12,26.5
2017-01-07,557,31,27.066666666666666
2017-01-08,558,15,26.9
2017-01-09,559,4,25.033333333333335
2017-01-10,560,22,25.033333333333335
2017-01-11,561,12,24.933333333333334
2017-01-12,562,12,24.766666666666666
2017-01-13,563,11,24.5
2017-01-14,564,4,24.033333333333335
2017-01-15,565,12,23.733333333333334
2017-01-16,566,13,23.466666666666665
2017-01-17,567,13,22.333333333333332
2017-01-18,568,56,22.033333333333335
2017-01-19,569,47,23.033333333333335
2017-01-20,570,120,25.966666666666665
2017-01-21,571,52,25.6
2017-01-22,572,106,28.633333333333333
2017-01-23,573,35,28.933333333333334
2017-01-24,574,77,31.033333333333335
2017-01-25,575,16,30.9
2017-01-26,576,11,30.533333333333335
2017-01-27,577,28,30.833333333333332
2017-01-28,578,5,30.4
2017-01-29,579,20,30.4
2017-01-30,580,24,30.333333333333332
2017-01-31,581,57,30.833333333333332
2017-02-01,582,43,31.1
2017-02-02,583,22,31.4
2017-02-03,584,7,29.933333333333334
2017-02-04,585,11,29.933333333333334
2017-02-05,586,13,29.966666666666665
2017-02-06,587,42,30.333333333333332
2017-02-07,588,11,30.2
2017-02-08,589,7,30.3
2017-02-09,590,22,30.3
2017-02-10,591,13,30.333333333333332
2017-02-11,592,20,30.6
2017-02-12,593,11,30.6
2017-02-13,594,18,31.066666666666666
2017-02-14,595,16,31.2
2017-02-15,596,18,31.366666666666667
2017-02-16,597,9,31.233333333333334
2017-02-17,598,15,29.866666666666667
2017-02-18,599,16,28.833333333333332
2017-02-19,600,14,25.3
2017-02-20,601,11,23.933333333333334
2017-02-21,602,66,22.6
2017-02-22,603,18,22.033333333333335
2017-02-23,604,23,20.233333333333334
2017-02-24,605,20,20.366666666666667
2017-02-25,606,20,20.666666666666668
2017-02-26,607,39,21.033333333333335
2017-02-27,608,16,21.4
2017-02-28,609,43,22.166666666666668
2017-03-01,610,14,21.833333333333332
2017-03-02,611,26,20.8
2017-03-03,612,15,19.866666666666667
2017-03-04,613,16,19.666666666666668
2017-03-05,614,22,20.166666666666668
2017-03-06,615,22,20.533333333333335
2017-03-07,616,28,21.033333333333335
2017-03-08,617,21,20.333333333333332
2017-03-09,618,22,20.7
2017-03-10,619,19,21.1
2017-03-11,620,28,21.3
2017-03-12,621,22,21.6
2017-03-13,622,24,21.733333333333334
2017-03-14,623,19,22.0
2017-03-15,624,21,22.1
2017-03-16,625,28,22.5
2017-03-17,626,30,22.9
2017-03-18,627,26,23.466666666666665
2017-03-19,628,28,23.9
2017-03-20,629,22,24.1
2017-03-21,630,23,24.4
2017-03-22,631,44,25.5
2017-03-23,632,11,23.666666666666668
2017-03-24,633,22,23.8
2017-03-25,634,33,24.133333333333333
2017-03-26,635,66,25.666666666666668
2017-03-27,636,19,25.633333333333333
2017-03-28,637,73,26.766666666666666
2017-03-29,638,17,26.8
2017-03-30,639,17,25.933333333333334
2017-03-31,640,16,26.0
2017-04-01,641,32,26.2
2017-04-02,642,38,26.966666666666665
2017-04-03,643,19,27.066666666666666
2017-04-04,644,27,27.233333333333334
2017-04-05,645,20,27.166666666666668
2017-04-06,646,124,30.366666666666667
2017-04-07,647,18,30.266666666666666
2017-04-08,648,17,30.1
2017-04-09,649,17,30.033333333333335
2017-04-10,650,32,30.166666666666668
2017-04-11,651,17,30.0
2017-04-12,652,21,29.9
2017-04-13,653,57,31.166666666666668
2017-04-14,654,22,31.2
2017-04-15,655,13,30.7
2017-04-16,656,43,31.133333333333333
2017-04-17,657,16,30.8
2017-04-18,658,18,30.466666666666665
2017-04-19,659,13,30.166666666666668
2017-04-20,660,20,30.066666666666666
2017-04-21,661,50,30.266666666666666
2017-04-22,662,33,31.0
2017-04-23,663,31,31.3
2017-04-24,664,19,30.833333333333332
2017-04-25,665,20,29.3
2017-04-26,666,71,31.033333333333335
2017-04-27,667,24,29.4
2017-04-28,668,20,29.5
2017-04-29,669,36,30.133333333333333
2017-04-30,670,80,32.266666666666666
2017-05-01,671,25,32.03333333333333
2017-05-02,672,29,31.733333333333334
2017-05-03,673,13,31.533333333333335
2017-05-04,674,42,32.03333333333333
2017-05-05,675,55,33.2
2017-05-06,676,21,29.766666666666666
2017-05-07,677,15,29.666666666666668
2017-05-08,678,21,29.8
2017-05-09,679,16,29.766666666666666
2017-05-10,680,22,29.433333333333334
2017-05-11,681,22,29.6
2017-05-12,682,23,29.666666666666668
2017-05-13,683,21,28.466666666666665
2017-05-14,684,19,28.366666666666667
2017-05-15,685,23,28.7
2017-05-16,686,14,27.733333333333334
2017-05-17,687,21,27.9
2017-05-18,688,24,28.1
2017-05-19,689,33,28.766666666666666
2017-05-20,690,12,28.5
2017-05-21,691,22,27.566666666666666
2017-05-22,692,16,27.0
2017-05-23,693,66,28.166666666666668
2017-05-24,694,15,28.033333333333335
2017-05-25,695,40,28.7
2017-05-26,696,22,27.066666666666666
2017-05-27,697,18,26.866666666666667
2017-05-28,698,29,27.166666666666668
2017-05-29,699,19,26.6
2017-05-30,700,16,24.466666666666665
2017-05-31,701,37,24.866666666666667
2017-06-01,702,57,25.8
2017-06-02,703,30,26.366666666666667
2017-06-03,704,35,26.133333333333333
2017-06-04,705,25,25.133333333333333
2017-06-05,706,30,25.433333333333334
2017-06-06,707,28,25.866666666666667
2017-06-07,708,18,25.766666666666666
2017-06-08,709,23,26.0
2017-06-09,710,37,26.5
2017-06-10,711,23,26.533333333333335
2017-06-11,712,27,26.666666666666668
2017-06-12,713,24,26.766666666666666
2017-06-13,714,26,27.0
2017-06-14,715,35,27.4
2017-06-15,716,32,28.0
2017-06-16,717,29,28.266666666666666
2017-06-17,718,38,28.733333333333334
2017-06-18,719,46,29.166666666666668
2017-06-19,720,22,29.5
2017-06-20,721,28,29.7
2017-06-21,722,26,30.033333333333335
2017-06-22,723,29,28.8
2017-06-23,724,21,29.0
2017-06-24,725,23,28.433333333333334
2017-06-25,726,23,28.466666666666665
2017-06-26,727,32,28.933333333333334
2017-06-27,728,34,29.1
2017-06-28,729,21,29.166666666666668
2017-06-29,730,24,29.433333333333334
2017-06-30,731,23,28.966666666666665
2017-07-01,732,24,27.866666666666667
2017-07-02,733,26,27.733333333333334
2017-07-03,734,15,27.066666666666666
2017-07-04,735,14,26.7
2017-07-05,736,15,26.2
2017-07-06,737,19,25.9
2017-07-07,738,29,26.266666666666666
2017-07-08,739,22,26.233333333333334
2017-07-09,740,25,25.833333333333332
2017-07-10,741,20,25.733333333333334
2017-07-11,742,19,25.466666666666665
2017-07-12,743,25,25.5
2017-07-13,744,17,25.2
2017-07-14,745,12,24.433333333333334
2017-07-15,746,24,24.166666666666668
2017-07-16,747,38,24.466666666666665
2017-07-17,748,43,24.633333333333333
2017-07-18,749,17,23.666666666666668
2017-07-19,750,16,23.466666666666665
2017-07-20,751,16,23.066666666666666
2017-07-21,752,12,22.6
2017-07-22,753,20,22.3
2017-07-23,754,16,22.133333333333333
2017-07-24,755,31,22.4
2017-07-25,756,19,22.266666666666666
2017-07-26,757,14,21.666666666666668
2017-07-27,758,20,21.2
2017-07-28,759,13,20.933333333333334
2017-07-29,760,22,20.866666666666667
2017-07-30,761,14,20.566666666666666
2017-07-31,762,20,20.433333333333334
2017-08-01,763,46,21.1
2017-08-02,764,24,21.4
2017-08-03,765,22,21.666666666666668
2017-08-04,766,22,21.9
2017-08-05,767,11,21.633333333333333
2017-08-06,768,25,21.5
2017-08-07,769,45,22.266666666666666
2017-08-08,770,39,22.733333333333334
2017-08-09,771,17,22.633333333333333
2017-08-10,772,18,22.6
2017-08-11,773,13,22.2
2017-08-12,774,57,23.533333333333335
2017-08-13,775,18,23.733333333333334
2017-08-14,776,14,23.4
2017-08-15,777,19,22.766666666666666
2017-08-16,778,39,22.633333333333333
2017-08-17,779,22,22.8
2017-08-18,780,16,22.8
2017-08-19,781,28,23.2
2017-08-20,782,21,23.5
2017-08-21,783,37,24.066666666666666
2017-08-22,784,58,25.466666666666665
2017-08-23,785,25,25.266666666666666
2017-08-24,786,23,25.4
2017-08-25,787,25,25.766666666666666
2017-08-26,788,47,26.666666666666668
2017-08-27,789,44,27.7
2017-08-28,790,26,27.833333333333332
2017-08-29,791,24,28.166666666666668
2017-08-30,792,21,28.2
2017-08-31,793,19,27.3
2017-09-01,794,33,27.6
2017-09-02,795,33,27.966666666666665
2017-09-03,796,18,27.833333333333332
2017-09-04,797,16,28.0
2017-09-05,798,27,28.066666666666666
2017-09-06,799,29,27.533333333333335
